smiles,chembl_id,has_single_amine,amine_type,logP,MW,HDonors,HAcceptors
C[C@@H](N)Cc1c2ccoc2c(Br)c2ccoc12.Cl,CHEMBL6706,True,primary,4.253000000000002,330.609,1,3
C[C@@H]1O[C@H](n2cnc(C(N)=O)n2)[C@@H](O)[C@H]1O,CHEMBL274535,True,primary,-1.9838999999999989,228.208,3,6
CC[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1CC,CHEMBL6959,True,secondary,4.732000000000003,324.34600000000006,2,3
CC(C)Nc1nc2ccccc2n2cnnc12,CHEMBL269318,True,secondary,2.0977999999999994,227.27100000000002,1,4
CCOC(=O)C1=C(O)C(=O)N(c2cccc3ccccc23)C1,CHEMBL7013,True,tertiary,2.561600000000001,297.31000000000006,1,4
CC(C)(C)NCC(O)COC(=O)c1ccc(C=O)cc1,CHEMBL7234,True,secondary,1.4049,279.33599999999996,2,5
CN1CCC2(CC1)CN=C(c1cn(C)c3ccccc13)O2,CHEMBL267991,True,tertiary,2.419500000000001,283.37500000000006,0,3
COCC(=O)Nc1ccc(Oc2cccc(OC)c2)cc1,CHEMBL7659,True,secondary,3.072400000000002,287.315,1,4
CON(C)C(=O)c1cc2c(Sc3ccc(C)cc3)cncc2s1,CHEMBL6517,True,tertiary,4.389320000000003,344.461,0,5
Cc1cc(CC(C)N)cc2c1OCO2,CHEMBL6330,True,primary,1.61342,193.24599999999998,1,3
COc1cccc(Oc2ccc(NC(=O)C3CC3)cc2)c1,CHEMBL7673,True,secondary,3.836000000000002,283.327,1,3
CC1(C)CC[C@]2(C(N)=O)CC[C@]3(C)C(C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)C2C1,CHEMBL7858,True,primary,5.691280000000006,490.6880000000004,1,4
CCC1Nc2cc3oc(=O)cc(C(F)(F)F)c3cc2CC1C,CHEMBL6654,True,secondary,4.194500000000002,311.30300000000005,1,3
CO/N=C/[C@@]1(C)[C@H](C(=O)[O-])N2C(=O)[C@@H](CO)[C@H]2S1(=O)=O.[Na+],CHEMBL6678,True,tertiary,-6.294999999999996,328.278,1,8
COc1cccc(Oc2ccc(NC(C)=O)cc2)c1,CHEMBL8094,True,secondary,3.4459000000000017,257.289,1,3
c1ccc(Cn2cnc3c(NC4CC4)ncnc32)cc1,CHEMBL7583,True,secondary,2.4489,265.32,1,4
CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCCCCCCCN(C)C)cc1)c1ccccc1,CHEMBL6596,True,tertiary,9.721499999999999,609.6360000000005,0,2
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,CHEMBL7917,True,secondary,4.044000000000002,315.7600000000001,1,5
Cc1c([N+](=O)[O-])oc2ccc3c(c12)CCCC3,CHEMBL7159,True,tertiary,3.528220000000002,231.25099999999992,0,3
CC(N)Cc1ccccc1,CHEMBL405,True,primary,1.5763,135.20999999999998,1,1
Cn1nc(S(N)(=O)=O)sc1=N,CHEMBL6753,True,primary,-1.3915299999999995,194.24100000000004,2,5
CCCN(CCC)C(=O)[C@]12CCC(C)(C)CC1C1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,CHEMBL266254,True,tertiary,7.85458000000001,574.8500000000001,0,4
c1ccc(Cn2cnc3c(N4CCCC4)ncnc32)cc1,CHEMBL7230,True,tertiary,2.4748,279.347,0,4
CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCN2CCCC2)cc1)c1ccccc1,CHEMBL267035,True,tertiary,7.915100000000009,551.5120000000005,0,2
CCCCCCNC(=O)[C@]12CCC(C)(C)CC1C1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,CHEMBL268602,True,secondary,7.90248000000001,574.8500000000001,1,4
O=C1c2ccc(OCc3ccncc3)cc2CCC1CCN1CCC(c2ccccc2)CC1,CHEMBL7726,True,tertiary,5.675400000000006,440.58700000000033,0,4
CN(C)c1ncnc2c1ncn2Cc1c(F)cccc1F,CHEMBL6817,True,tertiary,2.2188,289.289,0,4
CCCCCCC(C(=O)O)n1cnc(NC(=O)c2ccccc2S(=O)(=O)O)c1,CHEMBL269587,True,secondary,2.978200000000001,409.4640000000001,3,5
CONC(=O)c1cc2c(Sc3ccc(C)cc3)cncc2s1,CHEMBL269075,True,secondary,4.047120000000002,330.434,1,5
CCCCCCCCCCCCC#CC#CCCCCCCCCC(=O)NCCO,CHEMBL7864,True,secondary,6.533500000000007,417.6780000000003,2,2
C=CCC1Oc2cccc(SC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,CHEMBL8394,True,secondary,6.692500000000005,363.52600000000007,1,3
CNc1ncnc2c1ncn2Cc1c(F)cccc1Cl,CHEMBL269046,True,secondary,2.708800000000001,291.717,1,4
NC(=O)c1cc2c(Sc3ccc(Cl)cc3)cncc2s1,CHEMBL268567,True,primary,4.199800000000001,320.826,1,4
C/C(=C\CC1SC(=O)NC1=O)c1cccc(OCc2nc(-c3ccc(OC(F)(F)F)cc3)oc2C)c1,CHEMBL7093,True,secondary,6.272620000000003,518.5130000000003,1,7
Cn1cc(C2=C(c3cn(CCCO)c4ccccc34)C(=O)NC2=O)c2ccccc21,CHEMBL6205,True,secondary,3.082600000000001,399.4500000000001,2,3
CNC1=NCCCC1,CHEMBL268294,True,secondary,0.7881999999999998,112.176,1,2
C#Cc1cccc2c1-c1ccc3c(c1C(CC=C)O2)C(C)=CC(C)(C)N3,CHEMBL7671,True,secondary,5.951900000000005,341.45400000000006,1,2
O=C1NC(=O)C(c2cn(CCOCCO)c3ccccc23)=C1c1c[nH]c2ccccc12,CHEMBL7329,True,secondary,2.6987000000000005,415.44900000000007,3,4
CNc1ncnc2c1ncn2Cc1ccc(F)cc1F,CHEMBL6723,True,secondary,2.1944999999999997,275.262,1,4
NC1=NC(c2ccccc2)Cc2cccc(Cl)c21,CHEMBL7934,True,primary,3.3427000000000024,256.736,1,2
Cn1cc(C2=NCC3(CN4CCC3CC4)O2)c2ccccc21,CHEMBL269161,True,tertiary,2.4195,295.38599999999997,0,3
Oc1cccc(C2CCC3CCCCN3C2)c1,CHEMBL8120,True,tertiary,3.124100000000001,231.33899999999994,1,2
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL413,True,tertiary,6.180600000000006,914.187,3,13
COC(=O)C(C)(C)CCCOc1cccc(OCCCC(C)(C)C(=O)OC)c1NC(C)=O,CHEMBL267249,True,secondary,4.361400000000003,451.5600000000003,1,7
CC(C)CC(=O)C(=O)N1CCCCC1C(=O)OCCCc1cccnc1,CHEMBL268113,True,tertiary,2.553700000000001,360.45400000000006,0,5
CSCC[C@H](NC(=O)c1ccccc1Br)C(=O)O,CHEMBL267892,True,secondary,2.3852,332.21900000000005,2,3
O=C1NC(=O)c2cc(Sc3ccccc3)c(Sc3ccccc3)cc21,CHEMBL8271,True,secondary,4.872600000000003,363.4630000000001,1,4
O=C(N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O)c1ccccc1Br,CHEMBL8149,True,secondary,3.061700000000001,403.2320000000001,4,3
NC1=NC(c2ccccc2)Cc2ccsc21,CHEMBL8106,True,primary,2.750800000000001,228.31999999999996,1,3
CCC1CC(CC)c2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,CHEMBL6721,True,secondary,4.899600000000004,325.33000000000004,1,3
O=C1Nc2ccc(Cl)cc2C12OCCO2,CHEMBL6545,True,secondary,1.4916999999999998,225.63099999999994,1,3
CC1(C)CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,CHEMBL7289,True,secondary,3.948500000000003,297.27599999999995,1,3
CCCCCCC[C@H]1OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(C)C)OC(=O)[C@H]1C,CHEMBL7937,True,tertiary,4.687000000000005,503.6800000000003,1,6
CCc1nnc2c(NCC(C)O)nc3ccccc3n12,CHEMBL7219,True,secondary,1.6325999999999996,271.324,2,5
Cc1cccc(C(=O)OCC(O)CNC(C)C)c1,CHEMBL6957,True,secondary,1.51072,251.326,2,4
CN(C)c1ncnc2c1ncn2Cc1ccc(OCc2ccccc2)cc1,CHEMBL266462,True,tertiary,3.5196000000000023,359.43300000000005,0,5
O=C1c2ccc(OCc3ccccc3)cc2CCC1CC(=O)N1CCC(c2ccccc2)CC1,CHEMBL7791,True,tertiary,5.807000000000006,453.58200000000033,0,3
COc1ccc(Cl)cc1[C@@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,CHEMBL8347,True,secondary,4.532600000000002,359.706,1,2
COc1cccc(Cn2cnc3c(N(C)C)ncnc32)c1,CHEMBL8193,True,tertiary,1.9491999999999998,283.33500000000004,0,5
COc1ccc(C(NC(C)=O)c2ccc(C(C)C)cc(=O)c2O)cc1,CHEMBL268603,True,secondary,3.1099000000000014,341.40700000000004,2,4
O=C1c2ccc(OCc3ccccc3)cc2CCC1CCN1CCC(c2ccccc2)CC1,CHEMBL7607,True,tertiary,6.280400000000006,439.59900000000033,0,3
C=CCC1Oc2c(Br)ccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,CHEMBL7817,True,secondary,6.741700000000005,426.3540000000002,1,3
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL403,True,tertiary,-0.794999999999999,233.24499999999998,1,4
NS(=O)(=O)c1ccc(/C=C/c2ccc(F)cc2)cc1,CHEMBL7218,True,primary,2.6435000000000013,277.32,1,2
CC1(C)CC[C@]2(C(=O)NCc3ccccc3)CC[C@]3(C)C(C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)C2C1,CHEMBL269763,True,secondary,7.522380000000009,580.8130000000001,1,4
CN(C)c1ncnc2c1ncn2Cc1ccc(C#N)cc1,CHEMBL7629,True,tertiary,1.81228,278.31899999999996,0,5
Oc1ccc2c(c1O)CCC[C@H]2C1=NCCN1,CHEMBL7707,True,secondary,1.5193999999999996,232.28299999999996,3,4
CCCCCCC[C@H]1OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)CC)OC(=O)[C@H]1C,CHEMBL7886,True,tertiary,4.687000000000005,503.6800000000003,1,6
CN(C)c1ncnc2c1ncn2Cc1cccc(CO)c1,CHEMBL7881,True,tertiary,1.4328999999999998,283.335,1,5
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OCc3ccccc3)[C@]3(O)CC(OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2OCOCCO,CHEMBL415476,True,secondary,4.086200000000004,914.0139999999998,4,15
CNC1C2CCC(C2)C1(C)C,CHEMBL6491,True,secondary,2.0305,153.269,1,1
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,CHEMBL421,True,secondary,3.7016000000000013,398.4000000000001,3,7
C=CCC1Oc2cccc(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,CHEMBL266282,True,secondary,5.979200000000004,347.458,1,3
COc1ccc2[nH]cc(CCN)c2c1,CHEMBL8165,True,primary,1.6777,190.24599999999995,2,2
COc1ccc(CCNCC(O)COC(=O)c2ccccc2C)cc1OC,CHEMBL7733,True,secondary,2.3622200000000007,373.4490000000001,2,6
O=C1c2ccc(OCc3cccc(-c4ccccc4)c3)cc2CCC1CCN1CCC(c2ccccc2)CC1,CHEMBL7328,True,tertiary,7.947400000000009,515.6970000000003,0,3
O=C(N[C@@H](Cc1c[nH]cn1)C(=O)O)c1ccccc1Br,CHEMBL7140,True,secondary,1.5978999999999994,338.161,3,3
c1ccc2c3c([nH]c2c1)C1=NCCN1CC3,CHEMBL267399,True,tertiary,1.7861999999999998,211.26799999999992,1,2
Oc1cccc([C@@H]2CCCN3CCCC23)c1,CHEMBL8074,True,tertiary,2.734000000000001,217.31199999999995,1,2
Brc1ccc2c3c([nH]c2c1)CNCC3,CHEMBL441891,True,secondary,2.576100000000001,251.12699999999995,2,1
CCn1ncc2c(NCc3ccc(OC)c(Cl)c3)c(C(=O)O)cnc21,CHEMBL267805,True,secondary,3.4235000000000015,360.8010000000001,2,5
CC(=O)Oc1ccc2c(ccc3oc([N+](=O)[O-])cc32)c1,CHEMBL7207,True,tertiary,3.419500000000002,271.228,0,5
C#CCOc1ccc2c(c1OC)-c1ccc3c(c1C(CC=C)O2)C(C)=CC(C)(C)N3,CHEMBL266488,True,secondary,5.9912000000000045,401.5060000000002,1,4
CC[C@H]1C[C@@H](C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,CHEMBL427957,True,secondary,4.656900000000004,310.319,2,3
COC1(OC)C(=O)Nc2ccccc21,CHEMBL268311,True,secondary,1.0843000000000003,193.20200000000003,1,3
CCN(CC)c1ncnc2c1ncn2Cc1ccccc1,CHEMBL268639,True,tertiary,2.7208000000000006,281.363,0,4
CC(=O)/C=C/CC1C(=O)N2[C@@H](C(=O)O)C(C)(C)S(=O)(=O)[C@@H]12,CHEMBL6311,True,tertiary,-0.03359999999999941,315.34700000000004,1,5
